2018-01-28 00:00:00, 85
2018-01-28 00:01:00, 86
2018-01-28 00:02:00, 90
2018-01-28 00:03:00, 88
2018-01-28 00:04:00, 85
2018-01-28 00:05:00, 85
2018-01-28 00:06:00, 87
2018-01-28 00:07:00, 88
2018-01-28 00:08:00, 85
2018-01-28 00:09:00, 84
2018-01-28 00:10:00, 84
2018-01-28 00:11:00, 84
2018-01-28 00:12:00, 84
2018-01-28 00:13:00, 81
2018-01-28 00:14:00, 85
2018-01-28 00:15:00, 85
2018-01-28 00:16:00, 83
2018-01-28 00:17:00, 82
2018-01-28 00:18:00, 82
2018-01-28 00:19:00, 80
2018-01-28 00:20:00, 80
2018-01-28 00:23:00, 81
2018-01-28 00:24:00, 82
2018-01-28 00:25:00, 83
2018-01-28 00:26:00, 81
2018-01-28 00:27:00, 81
2018-01-28 00:28:00, 83
2018-01-28 00:47:00, 87
2018-01-28 00:48:00, 103
2018-01-28 00:49:00, 83
2018-01-28 00:50:00, 81
2018-01-28 00:51:00, 76
2018-01-28 00:52:00, 78
2018-01-28 00:53:00, 74
2018-01-28 00:54:00, 72
2018-01-28 00:55:00, 71
2018-01-28 00:56:00, 72
2018-01-28 00:57:00, 71
2018-01-28 00:58:00, 71
2018-01-28 00:59:00, 72
2018-01-28 01:00:00, 70
2018-01-28 01:01:00, 70
2018-01-28 01:02:00, 70
2018-01-28 01:03:00, 70
2018-01-28 01:04:00, 71
2018-01-28 01:05:00, 70
2018-01-28 01:06:00, 72
2018-01-28 01:07:00, 74
2018-01-28 01:08:00, 74
2018-01-28 01:09:00, 74
2018-01-28 01:10:00, 74
2018-01-28 01:11:00, 75
2018-01-28 01:12:00, 74
2018-01-28 01:13:00, 74
2018-01-28 01:14:00, 75
2018-01-28 01:15:00, 75
2018-01-28 01:16:00, 75
2018-01-28 01:17:00, 76
2018-01-28 01:18:00, 77
2018-01-28 01:19:00, 76
2018-01-28 01:20:00, 76
2018-01-28 01:21:00, 76
2018-01-28 01:22:00, 78
2018-01-28 01:23:00, 77
2018-01-28 01:24:00, 77
2018-01-28 01:25:00, 77
2018-01-28 01:26:00, 77
2018-01-28 01:27:00, 78
2018-01-28 01:28:00, 78
2018-01-28 01:29:00, 78
2018-01-28 01:30:00, 78
2018-01-28 01:31:00, 78
2018-01-28 01:32:00, 77
2018-01-28 01:33:00, 77
2018-01-28 01:34:00, 77
2018-01-28 01:35:00, 77
2018-01-28 01:36:00, 77
2018-01-28 01:37:00, 78
2018-01-28 01:38:00, 78
2018-01-28 01:39:00, 83
2018-01-28 01:40:00, 89
2018-01-28 01:41:00, 81
2018-01-28 01:42:00, 77
2018-01-28 01:43:00, 75
2018-01-28 01:44:00, 75
2018-01-28 01:45:00, 75
2018-01-28 01:46:00, 76
2018-01-28 01:47:00, 77
2018-01-28 01:48:00, 79
2018-01-28 01:49:00, 81
2018-01-28 01:50:00, 77
2018-01-28 01:51:00, 79
2018-01-28 01:52:00, 79
2018-01-28 01:53:00, 78
2018-01-28 01:54:00, 79
2018-01-28 01:55:00, 80
2018-01-28 01:56:00, 78
2018-01-28 01:57:00, 77
2018-01-28 01:58:00, 79
2018-01-28 01:59:00, 81
2018-01-28 02:00:00, 81
2018-01-28 02:01:00, 82
2018-01-28 02:02:00, 83
2018-01-28 02:03:00, 85
2018-01-28 02:04:00, 80
2018-01-28 02:05:00, 81
2018-01-28 02:06:00, 83
2018-01-28 02:07:00, 78
2018-01-28 02:08:00, 79
2018-01-28 02:09:00, 81
2018-01-28 02:10:00, 82
2018-01-28 02:11:00, 79
2018-01-28 02:12:00, 77
2018-01-28 02:13:00, 80
2018-01-28 02:14:00, 77
2018-01-28 02:15:00, 80
2018-01-28 02:16:00, 81
2018-01-28 02:17:00, 79
2018-01-28 02:18:00, 81
2018-01-28 02:19:00, 76
2018-01-28 02:20:00, 73
2018-01-28 02:21:00, 71
2018-01-28 02:22:00, 69
2018-01-28 02:23:00, 70
2018-01-28 02:24:00, 74
2018-01-28 02:25:00, 72
2018-01-28 02:26:00, 72
2018-01-28 02:27:00, 75
2018-01-28 02:28:00, 73
2018-01-28 02:29:00, 75
2018-01-28 02:30:00, 75
2018-01-28 02:31:00, 76
2018-01-28 02:32:00, 75
2018-01-28 02:33:00, 77
2018-01-28 02:34:00, 76
2018-01-28 02:35:00, 77
2018-01-28 02:36:00, 81
2018-01-28 02:37:00, 77
2018-01-28 02:38:00, 76
2018-01-28 02:39:00, 74
2018-01-28 02:40:00, 74
2018-01-28 02:41:00, 74
2018-01-28 02:42:00, 74
2018-01-28 02:43:00, 76
2018-01-28 02:44:00, 77
2018-01-28 02:45:00, 76
2018-01-28 02:46:00, 77
2018-01-28 02:47:00, 77
2018-01-28 02:48:00, 78
2018-01-28 02:49:00, 78
2018-01-28 02:50:00, 79
2018-01-28 02:51:00, 78
2018-01-28 02:52:00, 79
2018-01-28 02:53:00, 85
2018-01-28 02:54:00, 79
2018-01-28 02:55:00, 81
2018-01-28 02:56:00, 83
2018-01-28 02:57:00, 78
2018-01-28 02:58:00, 76
2018-01-28 02:59:00, 75
2018-01-28 03:00:00, 75
2018-01-28 03:01:00, 75
2018-01-28 03:02:00, 76
2018-01-28 03:03:00, 78
2018-01-28 03:04:00, 81
2018-01-28 03:05:00, 78
